year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,mark,model
2009,220000,120.0,Petrol,Individual,Manual,First Owner,18.0,1061,67.0,84  @ 3500 ,5,Maruti,Wagon
2018,254999,25.0,Petrol,Individual,Manual,First Owner,16.0,796,34.2,59  @ 2500 ,8,Maruti,Omni
2017,670000,70.0,Diesel,Individual,Manual,First Owner,24.0,1248,88.5,200  @ 1750 ,5,Maruti,Vitara
2012,150000,35.0,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,6.1 @ 3000 ,5,Maruti,Omni
2017,650000,16.2,Diesel,Individual,Manual,First Owner,24.0,1248,88.5,200  @ 1750 ,5,Maruti,Vitara
2019,330000,10.0,Other,Individual,Manual,Second Owner,46.82,796,40.3,60  @ 3500 ,4,Maruti,Alto
2019,366000,15.0,Petrol,Individual,Manual,First Owner,23.9,998,67.1,90  @ 3500 ,5,Maruti,Alto
2019,1149000,5.0,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151  @ 4850 ,5,Hyundai,Verna
2016,150000,42.0,Petrol,Individual,Manual,First Owner,20.6,1198,67.0,104  @ 4000 ,5,Datsun,GO
2011,425000,60.0,Diesel,Individual,Manual,Second Owner,13.9,2179,138.03,320  @ 1700-2700 ,7,Tata,Safari
2012,150000,76.0,Petrol,Individual,Manual,First Owner,16.0,796,37.0,59  @ 2500 ,4,Maruti,800
2019,2100000,5.0,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,250  @ 1750-2500 ,5,Jeep,Compass
2018,925000,28.9,Petrol,Dealer,Manual,First Owner,17.0,1497,117.3,145  @ 4600 ,5,Honda,City
2013,425000,86.3,Petrol,Dealer,Manual,First Owner,16.0,1497,116.3,146  @ 4800 ,5,Honda,City
2018,819999,32.6,Diesel,Dealer,Manual,First Owner,24.0,1248,88.5,200  @ 1750 ,5,Maruti,Vitara
2018,390000,10.3,Petrol,Dealer,Manual,First Owner,23.9,998,67.05,90  @ 3500 ,5,Maruti,Alto
2014,1500000,77.0,Diesel,Dealer,Manual,First Owner,12.5,2982,168.5,343  @ 1400-3400 ,7,Toyota,Fortuner
2013,700000,99.0,Diesel,Dealer,Manual,First Owner,12.9,2494,100.0,200  @ 1400-3400 ,7,Toyota,Innova
2014,1450000,27.8,Diesel,Dealer,Automatic,Second Owner,14.0,2143,120.7,200  @ 1250-4000 ,5,Mercedes-Benz,B
2015,425000,49.8,Diesel,Dealer,Manual,First Owner,24.0,1498,98.63,200  @ 1750 ,5,Honda,Amaze
2013,1090000,151.0,Diesel,Dealer,Manual,First Owner,13.0,2477,175.56,400  @ 2000-2500 ,7,Mitsubishi,Pajero
2015,600000,54.7,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,200  @ 1750 ,5,Honda,City
2015,525000,63.0,Diesel,Dealer,Manual,First Owner,27.0,1498,98.6,200  @ 1750 ,5,Honda,Jazz
2016,1650000,127.7,Diesel,Dealer,Automatic,Second Owner,11.3,2755,171.5,360  @ 1200-3400 ,7,Toyota,Innova
2016,950000,99.0,Diesel,Dealer,Manual,First Owner,12.9,2494,100.6,200  @ 1200-3600 ,7,Toyota,Innova
2013,1750000,33.9,Diesel,Dealer,Automatic,Second Owner,17.6,1968,174.33,380  @ 1750-2500 ,5,Audi,A6
2013,1689999,50.0,Diesel,Dealer,Automatic,First Owner,18.5,1968,187.74,400  @ 1750-3000 ,5,Audi,A6
2013,1425000,59.0,Diesel,Dealer,Automatic,First Owner,14.8,2143,170.0,400  @ 1400-2800 ,5,Mercedes-Benz,New
2011,265000,120.0,Diesel,Individual,Manual,First Owner,21.1,1248,88.8,200  @ 1750-3000 ,5,Tata,Manza
2011,190000,110.0,Petrol,Individual,Manual,Third Owner,20.3,1197,78.9,111.7  @ 4000 ,5,Hyundai,i10
2013,425000,60.0,Diesel,Individual,Manual,First Owner,21.2,1396,88.76,219.6  @ 1500-2750 ,5,Hyundai,i20
2015,630000,147.0,Diesel,Individual,Manual,Second Owner,26.5,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2017,600000,25.0,Petrol,Individual,Manual,Third Owner,18.1,1196,86.8,112  @ 4000 ,5,Ford,Figo
2019,650000,30.0,Petrol,Individual,Manual,First Owner,21.0,1197,83.1,115  @ 4000 ,5,Maruti,Baleno
2016,540000,40.0,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,250  @ 1500-3000 ,5,Volkswagen,Ameo
2015,630000,135.0,Diesel,Individual,Manual,First Owner,25.0,1498,98.6,200  @ 1750 ,5,Honda,City
2018,448000,30.0,Petrol,Individual,Automatic,First Owner,20.5,998,67.0,90  @ 3500 ,5,Maruti,Wagon
2017,500000,80.0,Diesel,Individual,Manual,First Owner,21.6,1498,108.62,250  @ 1500-3000 ,5,Volkswagen,Ameo
2019,1025000,9.85,Diesel,Individual,Automatic,First Owner,24.0,1248,88.5,200  @ 1750 ,5,Maruti,Vitara
2016,630000,70.0,Diesel,Individual,Manual,First Owner,25.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2015,1700000,78.0,Diesel,Individual,Manual,Second Owner,12.5,2982,168.5,343  @ 1400-3400 ,7,Toyota,Fortuner
2013,450000,120.0,Diesel,Individual,Manual,Second Owner,22.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2012,450000,120.0,Petrol,Individual,Manual,Second Owner,16.0,1373,93.7,130  @ 4000 ,7,Maruti,Ertiga
2013,450000,170.0,Diesel,Individual,Manual,First Owner,20.5,1598,103.6,250  @ 1500-2500 ,5,Volkswagen,Vento
2016,1200000,140.0,Diesel,Individual,Manual,First Owner,12.9,2494,100.6,200  @ 1200-3600 ,8,Toyota,Innova
2015,610000,90.0,Diesel,Individual,Manual,First Owner,22.7,1498,98.59,205  @ 1750-3250 ,5,Ford,EcoSport
2016,2500000,30.0,Petrol,Individual,Automatic,Second Owner,15.7,1998,189.0,280  @ 1350-4600 ,5,BMW,X1
2017,484999,10.0,Petrol,Dealer,Manual,First Owner,23.0,998,67.04,90  @ 3500 ,5,Maruti,Celerio
2016,275000,49.0,Petrol,Dealer,Manual,First Owner,19.0,1198,67.05,104  @ 4000 ,5,Datsun,GO
2016,315000,32.0,Petrol,Dealer,Manual,First Owner,24.0,796,47.3,69  @ 3500 ,5,Maruti,Alto
2016,275000,38.0,Petrol,Dealer,Manual,First Owner,24.0,796,47.3,69  @ 3500 ,5,Maruti,Alto
2012,290000,28.0,Petrol,Dealer,Manual,First Owner,19.8,1086,68.05,99.04  @ 4500 ,5,Hyundai,i10
2017,280000,32.0,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,6.1 @ 3000 ,5,Maruti,Omni
2010,225000,44.0,Other,Dealer,Manual,First Owner,36.68,998,58.2,77  @ 3500 ,5,Maruti,Wagon
2015,455000,42.0,Petrol,Dealer,Manual,First Owner,16.4,1198,74.0,110  @ 3750 ,5,Volkswagen,Polo
2015,351000,45.0,Petrol,Dealer,Manual,Second Owner,19.8,1086,68.05,99.04  @ 4500 ,5,Hyundai,i10
2012,535000,12.0,Petrol,Dealer,Manual,Second Owner,15.0,1598,103.6,153  @ 3800 ,5,Volkswagen,Vento
2009,175000,55.5,Petrol,Dealer,Manual,First Owner,18.0,998,67.1,90  @ 3500 ,5,Maruti,Zen
2013,525000,61.5,Petrol,Dealer,Manual,First Owner,18.0,1197,82.85,113.7  @ 4000 ,5,Hyundai,i20
2016,600000,150.0,Diesel,Individual,Manual,First Owner,26.5,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2016,565000,72.0,Petrol,Dealer,Automatic,First Owner,19.0,1197,82.0,114  @ 4000 ,5,Hyundai,Xcent
2008,120000,68.0,Petrol,Dealer,Manual,Third Owner,19.0,796,46.3,62  @ 3000 ,5,Maruti,Alto
2017,725000,110.0,Diesel,Individual,Manual,First Owner,22.5,1396,88.73,219.7  @ 1500-2750 ,5,Hyundai,i20
2009,185000,77.0,Petrol,Dealer,Manual,Second Owner,21.7,998,67.05,90  @ 3500 ,5,Maruti,Wagon
2010,200000,100.0,Diesel,Individual,Manual,Second Owner,18.0,1248,90.0,200  @ 1750-3000 ,5,Tata,Manza
2019,615000,10.0,Petrol,Individual,Manual,First Owner,21.2,1197,81.8,113  @ 4200 ,5,Maruti,Swift
2018,610000,35.0,Petrol,Individual,Manual,First Owner,21.0,1197,83.1,115  @ 4000 ,5,Maruti,Baleno
2014,625000,70.0,Diesel,Individual,Automatic,Second Owner,11.7,2179,120.0,290  @ 1800-2800 ,8,Mahindra,Scorpio
2020,400000,5.0,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,120  @ 4250 ,5,Ford,Freestyle
2017,866000,37.8,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151  @ 4850 ,5,Hyundai,Verna
2010,700000,114.0,Petrol,Individual,Manual,First Owner,14.0,1798,160.0,250  @ 1500~4500 ,5,Volkswagen,Passat
2019,1700000,32.0,Diesel,Individual,Manual,First Owner,15.0,2179,155.0,360  @ 1750-2800 ,7,Mahindra,XUV500
2016,375000,100.0,Diesel,Individual,Manual,First Owner,19.0,1405,69.01,135  @ 2500 ,5,Tata,Indigo
2013,522000,150.0,Diesel,Individual,Manual,Second Owner,22.3,1582,126.32,259.8  @ 1900-2750 ,5,Hyundai,Verna
2013,451999,69.0,Diesel,Individual,Manual,First Owner,21.0,1396,88.76,219.6  @ 1500-2750 ,5,Hyundai,i20
2009,300000,100.0,Petrol,Individual,Manual,Second Owner,14.5,1798,138.1,173  @ 4000 ,5,Toyota,Corolla
2020,475000,13.0,Petrol,Individual,Manual,First Owner,21.6,998,67.04,90  @ 3500 ,5,Maruti,Celerio
2016,780000,60.0,Diesel,Individual,Manual,First Owner,24.0,1248,88.5,200  @ 1750 ,5,Maruti,Vitara
2017,595000,40.0,Petrol,Individual,Manual,First Owner,20.8,1197,83.14,115  @ 4000 ,5,Maruti,Swift
2014,400000,70.0,Diesel,Individual,Manual,Third Owner,20.4,1461,83.8,200  @ 1900 ,5,Nissan,Terrano
2016,1140000,50.0,Diesel,Individual,Manual,First Owner,19.6,1582,126.2,259.9  @ 1900-2750 ,5,Hyundai,Creta
2012,370000,175.0,Diesel,Individual,Manual,Fourth & Above Owner,19.0,1248,73.9,190  @ 2000 ,5,Maruti,Swift
2018,350000,25.0,Petrol,Individual,Manual,First Owner,23.0,999,67.0,91  @ 4250 ,5,Renault,KWID
2015,360000,40.0,Petrol,Individual,Manual,Second Owner,23.0,998,67.04,90  @ 3500 ,5,Maruti,Celerio
2008,105000,65.0,Petrol,Individual,Manual,Fourth & Above Owner,19.0,796,46.3,62  @ 3000 ,5,Maruti,Alto
2009,135000,80.0,Petrol,Individual,Manual,Second Owner,17.9,1086,62.1,96.1  @ 3000 ,5,Hyundai,Santro
2015,700000,110.0,Diesel,Individual,Manual,Second Owner,20.7,1248,88.76,200  @ 1750 ,7,Maruti,Ertiga
2019,690000,1.303,Petrol,Dealer,Manual,First Owner,17.0,1198,86.7,109  @ 4500 ,5,Honda,Amaze
2018,3975000,31.8,Diesel,Dealer,Automatic,First Owner,17.0,1968,188.0,400nm @ 1750-3000 ,5,Audi,Q5
2019,5150000,20.0,Petrol,Dealer,Automatic,First Owner,22.3,2487,214.56,202  @ 3600-5200 ,5,Lexus,ES
2017,3200000,45.0,Diesel,Dealer,Automatic,First Owner,19.3,1999,177.0,430  @ 1750-2500 ,5,Jaguar,XF
2019,4500000,21.0,Diesel,Dealer,Automatic,First Owner,12.8,1999,148.31,382nm @ 1750-2250 ,7,Land,Rover
2017,6000000,37.0,Diesel,Dealer,Automatic,First Owner,13.0,2987,254.79,620  @ 1600-2400 ,5,Mercedes-Benz,S-Class
2018,3790000,29.5,Diesel,Dealer,Automatic,First Owner,22.4,1995,187.74,400  @ 1750-2500 ,5,BMW,5
2019,5800000,7.5,Diesel,Dealer,Automatic,First Owner,16.7,1995,190.0,400  @ 1750-2500 ,5,BMW,X4
2018,1864999,50.0,Petrol,Dealer,Automatic,First Owner,14.6,1798,177.46,250 @ 1250-5000 ,5,Skoda,Superb
2016,2700000,35.0,Diesel,Dealer,Automatic,First Owner,15.0,2143,204.0,500  @ 1600-1800 ,5,Mercedes-Benz,E-Class
2019,1750000,19.0,Petrol,Dealer,Automatic,First Owner,13.9,1451,141.0,250  @ 1600-3600 ,5,MG,Hector
2013,625000,39.0,Petrol,Dealer,Automatic,First Owner,14.2,1798,138.03,173  @ 4000 ,5,Toyota,Corolla
2018,3400000,22.0,Diesel,Dealer,Automatic,First Owner,18.0,1969,190.0,400 ,5,Volvo,XC40
2015,2650000,53.0,Diesel,Dealer,Automatic,First Owner,12.0,2967,241.4,550  @ 1750-2750 ,7,Audi,Q7
2015,535000,40.0,Diesel,Dealer,Manual,First Owner,26.2,1248,88.5,200  @ 1750 ,5,Maruti,Ciaz
2017,5850000,47.0,Diesel,Dealer,Automatic,First Owner,13.0,2987,282.0,490  @ 1600 ,5,Mercedes-Benz,S-Class
2010,975000,72.2,Petrol,Dealer,Automatic,Second Owner,10.0,2497,150.0,250  @ 2750  ,5,BMW,5
2017,2625000,9.0,Diesel,Dealer,Automatic,First Owner,13.0,1999,177.0,430  @ 1750-2500 ,5,Jaguar,XE
2018,811000,11.0,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,170  @ 1750-4000 ,5,Tata,Nexon
2011,375000,49.0,Petrol,Individual,Manual,First Owner,15.0,1598,103.6,153  @ 3800 ,5,Volkswagen,Vento
2012,550000,95.0,Petrol,Individual,Manual,First Owner,16.0,1797,147.5,177.5  @ 4700 ,5,Hyundai,Elantra
2016,645000,11.0,Petrol,Dealer,Automatic,First Owner,14.0,1598,103.5,153  @ 3800 ,5,Skoda,Rapid
2018,2550000,18.0,Petrol,Dealer,Automatic,First Owner,15.0,1991,183.0,300  @ 1200-4000 ,5,Mercedes-Benz,CLA
2017,2700000,16.0,Petrol,Dealer,Automatic,First Owner,14.7,1991,181.04,300  @ 1200-1400 ,5,Mercedes-Benz,New
2017,875000,18.0,Petrol,Dealer,Automatic,First Owner,15.0,1497,116.3,146  @ 4800 ,5,Honda,City
2019,894999,9.654,Petrol,Dealer,Automatic,First Owner,19.5,1197,81.8,113  @ 4200 ,5,Toyota,Glanza
2011,175000,11.0,Petrol,Dealer,Manual,First Owner,23.9,998,67.05,90  @ 3500 ,5,Maruti,Alto
2012,340000,24.3,Petrol,Dealer,Manual,First Owner,21.2,1197,81.8,113  @ 4200 ,5,Maruti,Swift
2018,1025000,8.0,Diesel,Dealer,Automatic,First Owner,21.0,1497,108.5,260  @ 1500-2750 ,5,Tata,Nexon
2016,2150000,30.0,Diesel,Dealer,Automatic,First Owner,22.6,1995,190.0,400  @ 1750-2500 ,5,BMW,3
2016,1900000,41.0,Petrol,Dealer,Automatic,First Owner,19.1,2494,157.7,213  @ 4500 ,5,Toyota,Camry
2016,2900000,12.0,Diesel,Dealer,Automatic,First Owner,18.1,1995,190.0,400  @ 1750-2500 ,5,BMW,5
2009,450000,71.0,Petrol,Dealer,Automatic,First Owner,12.0,2362,164.7,224  @ 4000 ,5,Toyota,Camry
2016,850000,20.0,Petrol,Individual,Manual,First Owner,17.0,1373,91.1,130  @ 4000 ,7,Maruti,Ertiga
2017,10000000,30.0,Petrol,Individual,Automatic,First Owner,42.0,1969,400.0,640  @ 1740 ,4,Volvo,XC90
2018,575000,9.5,Petrol,Individual,Manual,First Owner,18.1,1196,86.8,112  @ 4000 ,5,Ford,Figo
2011,160000,120.0,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,160  @ 2000 ,5,Ford,Figo
2015,515000,36.6,Petrol,Individual,Manual,First Owner,20.0,1197,81.8,113  @ 4200 ,5,Maruti,Swift
2015,390000,50.0,Petrol,Individual,Automatic,Second Owner,20.5,998,67.0,90  @ 3500 ,5,Maruti,Wagon
2016,550000,14.0,Petrol,Individual,Manual,Second Owner,18.0,1197,81.83,114.7  @ 4000 ,5,Hyundai,i20
1999,40000,40.0,Petrol,Individual,Manual,Second Owner,16.0,796,37.0,59  @ 2500 ,4,Maruti,800
2010,220000,120.0,Diesel,Individual,Manual,First Owner,21.0,1248,73.9,113  @ 4500 ,5,Maruti,Ritz
2015,425000,70.0,Petrol,Individual,Manual,First Owner,18.0,1197,82.0,114  @ 4000 ,5,Hyundai,Grand
2019,480000,13.0,Petrol,Individual,Manual,First Owner,19.4,999,75.0,95  @ 3000-4300 ,5,Volkswagen,Ameo
2014,487000,35.0,Petrol,Individual,Manual,First Owner,19.0,1197,85.8,114  @ 4000 ,5,Maruti,Swift
2016,386000,44.0,Petrol,Individual,Manual,Second Owner,19.0,1197,82.0,114  @ 4000 ,5,Hyundai,Xcent
2005,100000,120.0,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0,13.1 @ 4600 ,5,Honda,City
2010,300000,60.0,Diesel,Individual,Manual,First Owner,21.4,1364,87.2,205  @ 1800-2800 ,5,Toyota,Corolla
2000,100000,60.0,Petrol,Individual,Manual,First Owner,18.0,796,53.0,71  @ 3500 ,5,Daewoo,Matiz
2014,1750000,30.0,Diesel,Individual,Manual,Second Owner,13.0,2982,168.5,343  @ 1400-3400 ,7,Toyota,Fortuner
2016,450000,15.0,Petrol,Individual,Manual,Second Owner,18.1,1198,82.0,115  @ 3500-3600 ,6,Mahindra,KUV
2017,490000,90.0,Diesel,Individual,Manual,First Owner,22.9,1248,74.0,190  @ 1750-3000 ,5,Tata,Zest
2009,345000,47.0,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,146 @ 4800  ,5,Honda,City
2005,85000,90.0,Petrol,Individual,Manual,First Owner,17.0,993,60.0,78  @ 4500 ,5,Maruti,Zen
2005,65000,86.0,Petrol,Individual,Manual,First Owner,15.0,1341,83.0,115  @ 3200 ,5,Hyundai,Getz
2017,800000,37.0,Diesel,Individual,Manual,First Owner,28.0,1248,88.5,200  @ 1750 ,5,Maruti,Ciaz
2019,520000,14.0,Petrol,Individual,Manual,First Owner,20.0,1199,84.0,114  @ 3500 ,5,Tata,Tigor
2015,580000,70.0,Diesel,Individual,Manual,First Owner,20.7,1248,88.76,200  @ 1750 ,7,Maruti,Ertiga
2015,600000,50.0,Petrol,Individual,Manual,First Owner,17.0,1497,117.3,145  @ 4600 ,5,Honda,City
2016,360000,50.0,Other,Individual,Manual,First Owner,37.24,998,58.16,77  @ 3500 ,5,Maruti,Wagon
2017,550000,50.0,Petrol,Individual,Manual,First Owner,20.8,1197,83.14,115  @ 4000 ,5,Maruti,Swift
2018,420000,35.0,Petrol,Individual,Automatic,First Owner,20.5,998,67.0,90  @ 3500 ,5,Maruti,Wagon
2017,550000,20.0,Petrol,Individual,Manual,First Owner,21.2,1197,81.8,113  @ 4200 ,5,Maruti,Swift
2018,700000,7.8,Petrol,Individual,Automatic,First Owner,22.0,1197,81.8,113  @ 4200 ,5,Maruti,Swift
2017,500000,20.0,Petrol,Individual,Manual,First Owner,20.0,1197,81.8,113  @ 4200 ,5,Maruti,Swift
2019,1250000,15.0,Diesel,Individual,Manual,First Owner,17.0,2179,147.94,320  @ 1500-3000 ,7,Tata,Hexa
2013,320000,31.377,Petrol,Individual,Manual,Second Owner,18.0,1197,82.85,113.7  @ 4000 ,5,Hyundai,i20
2018,700000,50.0,Diesel,Individual,Manual,First Owner,28.0,1248,74.02,190  @ 2000 ,5,Maruti,Swift
2015,290000,60.0,Petrol,Individual,Manual,First Owner,20.5,998,67.04,90  @ 3500 ,5,Maruti,Wagon
2012,550000,100.0,Petrol,Individual,Automatic,First Owner,14.5,1794,138.1,173  @ 4000 ,5,Toyota,Corolla
2018,830000,5.0,Petrol,Individual,Automatic,First Owner,21.0,1197,83.1,115  @ 4000 ,5,Maruti,Baleno
2017,800000,60.0,Diesel,Individual,Manual,First Owner,14.0,2179,147.94,320  @ 1500-3000 ,7,Tata,Safari
2017,329000,80.0,Petrol,Individual,Manual,Second Owner,20.6,1198,67.0,104  @ 4000 ,5,Datsun,GO
2017,775000,75.0,Diesel,Individual,Manual,First Owner,24.0,1248,88.5,200  @ 1750 ,5,Maruti,Vitara
2020,524000,32.0,Petrol,Individual,Manual,First Owner,20.1,1197,81.86,113.75nm @ 4000 ,5,Hyundai,Xcent
2015,245000,40.0,Petrol,Individual,Manual,First Owner,22.7,796,47.3,69  @ 3500 ,5,Maruti,Alto
2012,275000,93.0,Petrol,Individual,Manual,Second Owner,17.0,1197,80.0,"11.4 @ 4,000  ",5,Hyundai,i20
2018,520000,60.0,Petrol,Individual,Manual,First Owner,17.5,1193,88.7,140  @ 1500-4000 ,5,Tata,Zest
2014,550000,37.0,Petrol,Individual,Manual,First Owner,16.9,1498,97.7,134  @ 4000 ,5,Nissan,Sunny
2018,910000,15.0,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,150  @ 4500 ,5,Ford,EcoSport
2016,350000,140.0,Petrol,Individual,Manual,First Owner,20.5,998,67.04,90  @ 3500 ,5,Maruti,Wagon
2013,900000,70.0,Diesel,Individual,Manual,First Owner,12.8,2696,162.0,340  @ 1800-3250 ,7,Mahindra,Ssangyong
2013,300000,120.0,Diesel,Individual,Manual,Second Owner,17.2,1493,100.0,240  @ 1600-2800 ,7,Mahindra,Quanto
2010,250000,110.0,Diesel,Individual,Manual,Second Owner,21.0,1248,73.9,190  @ 2000 ,5,Maruti,Ritz
2017,1100000,37.0,Diesel,Individual,Manual,First Owner,19.6,1582,126.2,259.9  @ 1900-2750 ,5,Hyundai,Creta
2016,270000,44.0,Petrol,Individual,Manual,First Owner,25.1,799,53.3,72  @ 4386 ,5,Renault,KWID
2015,640000,80.0,Diesel,Individual,Manual,First Owner,20.7,1248,88.76,200  @ 1750 ,7,Maruti,Ertiga
2015,650000,125.0,Diesel,Individual,Manual,First Owner,15.0,2179,140.0,330  @ 1600-2800 ,7,Mahindra,XUV500
2017,409999,13.5,Petrol,Individual,Manual,First Owner,15.3,1196,73.0,101  @ 3000 ,5,Maruti,Eeco
2011,165000,75.0,Petrol,Individual,Manual,First Owner,17.9,1086,62.1,96.1  @ 3000 ,5,Hyundai,Santro
2007,80000,120.0,Petrol,Individual,Manual,Second Owner,13.0,1495,94.0,"12.5 @ 3,500 @  )",5,Hyundai,Accent
2012,535000,120.0,Diesel,Individual,Manual,First Owner,15.0,2179,140.0,330  @ 1600-2800 ,7,Mahindra,XUV500
2013,700000,70.0,Diesel,Individual,Manual,First Owner,12.9,2494,100.57,200  @ 1400-3400 ,7,Toyota,Innova
2013,550000,70.0,Diesel,Individual,Manual,First Owner,23.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2019,680000,15.0,Petrol,Individual,Automatic,First Owner,19.0,1199,88.76,110  @ 4800 ,5,Honda,Amaze
2009,200000,53.0,Petrol,Individual,Manual,Second Owner,20.3,1197,78.9,111.8  @ 4000 ,5,Hyundai,i10
2014,500000,120.0,Diesel,Individual,Manual,Second Owner,23.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2016,1000000,70.0,Diesel,Individual,Manual,First Owner,24.5,1248,88.5,200  @ 1750 ,7,Maruti,Ertiga
2008,110000,120.0,Petrol,Individual,Manual,Second Owner,14.0,1341,82.9,"11.8 @ 3,200 @  )",5,Hyundai,Getz
2012,320000,100.0,Petrol,Individual,Manual,Second Owner,18.0,1197,80.0,"11.4 @ 4,000  ",5,Hyundai,i20
2015,350000,100.0,Petrol,Individual,Manual,First Owner,20.0,1197,83.11,113  @ 4200 ,5,Maruti,Swift
2013,170000,162.5,Diesel,Individual,Manual,First Owner,19.0,1405,70.0,135.4  @ 2500 ,5,Tata,Indica
2017,800000,39.0,Diesel,Individual,Manual,First Owner,22.5,1396,88.73,219.7  @ 1500-2750 ,5,Hyundai,i20
2017,500000,75.0,Diesel,Individual,Manual,First Owner,26.0,1248,74.0,190  @ 2000 ,5,Maruti,Ignis
2017,1380000,50.0,Diesel,Individual,Automatic,First Owner,17.0,2179,153.86,400  @ 1750-2500 ,7,Tata,Hexa
2019,1300000,40.0,Diesel,Individual,Manual,First Owner,17.0,1497,121.0,300  @ 1750-2500 ,8,Mahindra,Marazzo
2013,530000,92.5,Diesel,Individual,Manual,First Owner,22.3,1582,126.3,259.9  @ 1900-2750 ,5,Hyundai,Verna
2012,360000,158.0,Diesel,Individual,Manual,First Owner,23.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2012,310000,120.0,Diesel,Individual,Manual,First Owner,19.0,1248,73.9,190  @ 2000 ,5,Maruti,Swift
2015,725000,50.0,Diesel,Individual,Manual,Second Owner,26.0,1498,98.6,200  @ 1750 ,5,Honda,City
2012,340000,110.0,Diesel,Individual,Manual,First Owner,19.0,1248,73.9,190  @ 2000 ,5,Maruti,Swift
